season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP,PLAYER_ID,TEAM_ID
2018,Carmelo Anthony,34.0,OKC,78,46,32,0.59,2501.14,472,1168,169,474,148,193,67,386,453,103,47,49,99,1261,0.503,0.4058219178082192,0.16523972602739725,0.025,0.158,0.088,0.061,,0.223,,,,,,,,2546,1610612760
2018,Cedi Osman,23.0,CLE,61,35,26,0.574,672.4933333333333,90,186,32,87,26,46,19,101,120,41,22,3,32,238,0.577,0.46774193548387094,0.24731182795698925,0.028,0.149,0.089,0.084,,0.151,,,,,,,,1626224,1610612739
2018,Chandler Parsons,29.0,MEM,36,12,24,0.333,691.3833333333333,108,234,51,121,17,27,14,76,90,69,18,11,35,284,0.578,0.5170940170940171,0.11538461538461539,0.021,0.117,0.068,0.158,,0.18,,,,,,,,202718,1610612763
2018,Channing Frye,35.0,LAL,53,28,25,0.528,694.8583333333333,104,212,39,115,17,19,12,123,135,38,18,13,21,264,0.599,0.5424528301886793,0.08962264150943396,0.019,0.164,0.097,0.077,,0.151,,,,,,,,101112,1610612747
2018,Charles Cooke,23.0,NOP,13,8,5,0.615,38.105,2,14,1,8,1,2,0,2,2,1,1,0,1,6,0.202,0.5714285714285714,0.14285714285714285,0.0,0.049,0.022,0.038,,0.163,,,,,,,,1628429,1610612740
2018,Cheick Diallo,21.0,NOP,52,29,23,0.558,580.95,102,176,0,0,50,66,47,164,211,19,11,21,28,254,0.619,0.0,0.375,0.079,0.262,0.173,0.048,,0.168,,,,,,,,1627767,1610612740
2018,Chinanu Onuaku,21.0,HOU,1,0,1,0.0,21.566666666666666,2,5,0,0,0,0,1,3,4,1,0,0,3,4,0.4,0.0,0.0,0.045,0.136,0.091,0.1,,0.182,,,,,,,,1627778,1610612745
2018,Chris Boucher,25.0,GSW,1,1,0,1.0,1.3166666666666667,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,,0.333,,,,,,,,1628449,1610612744
2018,Chris McCullough,23.0,WAS,19,11,8,0.579,89.76666666666667,18,42,1,8,9,14,7,18,25,4,0,5,2,46,0.478,0.19047619047619047,0.3333333333333333,0.07,0.188,0.128,0.082,,0.219,,,,,,,,1626191,1610612764
2018,Chris Paul,33.0,HOU,58,50,8,0.862,1846.5566666666666,367,798,144,379,203,221,37,276,313,457,96,14,128,1081,0.604,0.474937343358396,0.2769423558897243,0.02,0.151,0.086,0.389,,0.241,,,,,,,,101108,1610612745
2018,Clint Capela,24.0,HOU,74,62,12,0.838,2034.1083333333333,441,676,0,1,144,257,241,561,802,68,58,137,103,1026,0.65,0.0014792899408284023,0.3801775147928994,0.119,0.278,0.198,0.055,,0.19,,,,,,,,203991,1610612745
2018,Cody Zeller,25.0,CHA,33,14,19,0.424,627.1833333333333,85,156,2,3,61,85,67,110,177,31,14,21,33,233,0.602,0.019230769230769232,0.5448717948717948,0.097,0.184,0.138,0.075,,0.152,,,,,,,,203469,1610612766
2018,Cole Aldrich,29.0,MIN,21,14,7,0.667,48.69833333333333,5,15,0,0,2,6,3,12,15,3,2,1,1,12,0.34,0.0,0.4,0.057,0.286,0.158,0.081,,0.151,,,,,,,,202332,1610612750
2018,Corey Brewer,32.0,OKC,72,32,40,0.444,1208.5183333333334,142,316,31,110,65,90,43,111,154,65,79,14,49,380,0.534,0.34810126582278483,0.2848101265822785,0.033,0.089,0.06,0.073,,0.136,,,,,,,,201147,1610612760
2018,Cory Joseph,26.0,IND,82,48,34,0.585,2209.9183333333335,256,604,67,190,70,94,39,224,263,260,80,18,87,649,0.503,0.31456953642384106,0.15562913907284767,0.017,0.101,0.059,0.164,,0.143,,,,,,,,202709,1610612754
2018,Courtney Lee,32.0,NYK,76,27,49,0.355,2309.9783333333335,343,755,113,278,114,124,30,194,224,180,80,17,84,913,0.564,0.36821192052980134,0.16423841059602648,0.013,0.082,0.048,0.113,,0.165,,,,,,,,201584,1610612752
2018,Cristiano Felicio,25.0,CHI,55,13,42,0.236,977.45,127,215,0,2,54,81,83,150,233,55,16,11,54,308,0.614,0.009302325581395349,0.3767441860465116,0.076,0.158,0.114,0.093,,0.133,,,,,,,,1626245,1610612741
2018,D'Angelo Russell,22.0,BKN,48,16,32,0.333,1233.715,278,672,90,278,97,131,30,159,189,249,36,17,147,743,0.509,0.41369047619047616,0.1949404761904762,0.023,0.122,0.072,0.348,,0.295,,,,,,,,1626156,1610612751
2018,D.J. Augustin,30.0,ORL,75,23,52,0.307,1760.0483333333334,244,540,114,272,164,189,30,130,160,287,54,0,123,766,0.615,0.5037037037037037,0.35,0.016,0.072,0.044,0.251,,0.182,,,,,,,,201571,1610612753
2018,D.J. Wilson,22.0,MIL,22,12,10,0.545,71.09833333333333,9,16,2,5,1,2,2,8,10,3,3,1,4,21,0.622,0.3125,0.125,0.029,0.157,0.083,0.075,,0.127,,,,,,,,1628391,1610612749
2018,Dakari Johnson,22.0,OKC,31,21,10,0.677,161.37,22,39,0,0,11,20,16,18,34,8,6,8,3,55,0.575,0.0,0.5128205128205128,0.099,0.111,0.105,0.083,,0.139,,,,,,,,1626177,1610612760
2018,Damian Jones,23.0,GSW,15,7,8,0.467,88.71166666666667,11,22,0,0,3,5,5,9,14,2,1,3,4,25,0.517,0.0,0.22727272727272727,0.06,0.093,0.078,0.037,,0.143,,,,,,,,1627745,1610612744
2018,Damian Lillard,27.0,POR,73,44,29,0.603,2669.89,621,1415,227,629,493,538,62,263,325,481,77,27,206,1962,0.594,0.44452296819787984,0.38021201413427563,0.022,0.094,0.058,0.301,,0.295,,,,,,,,203081,1610612757
2018,Damien Wilkins,38.0,IND,19,10,9,0.526,152.405,13,39,4,18,3,4,5,11,16,9,2,1,5,33,0.405,0.46153846153846156,0.10256410256410256,0.031,0.072,0.051,0.075,,0.125,,,,,,,,2863,1610612754
2018,Damion Lee,25.0,ATL,15,4,11,0.267,404.4116666666667,62,152,15,60,22,29,11,60,71,29,19,1,14,161,0.489,0.39473684210526316,0.19078947368421054,0.024,0.138,0.08,0.109,,0.182,,,,,,,,1627814,1610612737
2018,Damyean Dotson,24.0,NYK,44,11,33,0.25,474.06166666666667,72,161,22,68,16,23,9,75,84,31,12,2,17,182,0.532,0.422360248447205,0.14285714285714285,0.018,0.142,0.082,0.098,,0.169,,,,,,,,1628422,1610612752
2018,Daniel Hamilton,22.0,OKC,6,5,1,0.833,27.72833333333333,5,11,2,5,0,0,0,5,5,8,1,0,2,12,0.545,0.45454545454545453,0.0,0.0,0.167,0.083,0.615,,0.2,,,,,,,,1627772,1610612760
2018,Daniel Theis,26.0,BOS,63,44,19,0.698,935.63,126,233,18,58,61,81,90,184,274,56,30,48,56,331,0.616,0.24892703862660945,0.34763948497854075,0.092,0.189,0.141,0.099,,0.15,,,,,,,,1628464,1610612738
2018,Danilo Gallinari,29.0,LAC,21,11,10,0.524,671.055,102,256,36,111,81,87,9,92,101,41,13,10,26,321,0.545,0.43359375,0.33984375,0.013,0.133,0.073,0.097,,0.205,,,,,,,,201568,1610612746
2018,Danny Green,31.0,SAS,70,40,30,0.571,1791.0866666666666,217,561,116,320,50,65,41,208,249,110,63,80,74,600,0.509,0.5704099821746881,0.11586452762923351,0.022,0.115,0.068,0.089,,0.163,,,,,,,,201980,1610612759
2018,Dante Cunningham,31.0,BKN,73,34,39,0.466,1561.885,164,364,58,168,31,52,78,220,298,48,39,30,33,417,0.539,0.46153846153846156,0.14285714285714285,0.049,0.133,0.092,0.042,,0.114,,,,,,,,201967,1610612751
2018,Danté Exum,22.0,UTA,14,10,4,0.714,234.51833333333335,42,87,5,18,25,31,4,22,26,43,8,3,20,114,0.566,0.20689655172413793,0.3563218390804598,0.018,0.083,0.053,0.27,,0.223,,,,,,,,203957,1610612762
2018,Danuel House Jr.,25.0,PHX,23,6,17,0.261,402.625,56,129,15,58,25,31,13,63,76,25,7,6,11,152,0.533,0.4496124031007752,0.24031007751937986,0.032,0.14,0.088,0.092,,0.16,,,,,,,,1627863,1610612756
2018,Dario Šarić,24.0,PHI,78,49,29,0.628,2310.07,403,890,157,399,178,207,154,366,520,202,51,20,148,1141,0.582,0.44831460674157303,0.23258426966292134,0.067,0.147,0.108,0.129,,0.204,,,,,,,,203967,1610612755
2018,Darius Miller,28.0,NOP,82,48,34,0.585,1944.44,216,487,147,358,58,67,18,146,164,111,28,17,58,637,0.617,0.7351129363449692,0.1375770020533881,0.009,0.07,0.041,0.076,,0.124,,,,,,,,203121,1610612740
2018,Darrell Arthur,30.0,DEN,19,12,7,0.632,140.77166666666668,22,47,8,23,2,3,3,12,15,9,8,3,15,54,0.559,0.48936170212765956,0.06382978723404255,0.021,0.087,0.054,0.101,,0.188,,,,,,,,201589,1610612743
2018,Darren Collison,30.0,IND,69,39,30,0.565,2018.36,316,638,96,205,127,144,37,141,178,368,92,15,86,855,0.61,0.3213166144200627,0.22570532915360503,0.019,0.072,0.046,0.257,,0.17,,,,,,,,201954,1610612754
2018,Darrun Hilliard,25.0,SAS,14,8,6,0.571,95.195,5,19,0,6,6,7,0,7,7,11,2,0,4,16,0.362,0.3157894736842105,0.3684210526315789,0.0,0.08,0.04,0.147,,0.119,,,,,,,,1626199,1610612759
2018,David Nwaba,25.0,CHI,70,26,44,0.371,1645.9533333333334,202,423,18,52,133,203,89,237,326,104,59,29,77,555,0.542,0.12293144208037825,0.4799054373522459,0.05,0.142,0.095,0.094,,0.153,,,,,,,,1628021,1610612741
2018,David Stockton,27.0,UTA,3,3,0,1.0,9.333333333333334,2,3,2,3,4,4,0,0,0,0,0,0,1,10,1.05,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,,0.25,,,,,,,,204065,1610612762
2018,David West,37.0,GSW,73,52,21,0.712,998.6966666666667,216,378,3,8,60,79,64,174,238,138,47,75,80,495,0.6,0.021164021164021163,0.20899470899470898,0.072,0.163,0.122,0.22,,0.223,,,,,,,,2561,1610612744
2018,Davis Bertans,25.0,SAS,77,43,34,0.558,1086.2083333333333,161,366,94,252,40,49,18,135,153,74,26,28,36,456,0.588,0.6885245901639344,0.13387978142076504,0.017,0.122,0.07,0.102,,0.168,,,,,,,,202722,1610612759
2018,Davon Reed,23.0,PHX,21,2,19,0.095,242.15833333333333,22,76,11,38,8,12,2,37,39,13,10,2,10,63,0.388,0.5,0.15789473684210525,0.007,0.149,0.072,0.087,,0.158,,,,,,,,1628432,1610612756
2018,De'Aaron Fox,20.0,SAC,73,24,49,0.329,2025.53,328,797,47,153,141,195,33,171,204,320,70,20,173,844,0.478,0.191969887076537,0.24466750313676286,0.016,0.087,0.05,0.24,,0.227,,,,,,,,1628368,1610612758
2018,DeAndre Jordan,29.0,LAC,77,39,38,0.506,2423.4366666666665,373,578,0,0,181,312,329,842,1171,117,39,70,137,927,0.648,0.0,0.5397923875432526,0.132,0.339,0.236,0.074,,0.151,,,,,,,,201599,1610612746
