season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP
2015,Tarik Black,23.0,LAL,,,,,803.0,,190.0,,,,89.0,,,,34.0,13.0,22.0,29.0,274.0,0.598,0.0,0.468,0.111,0.225,0.166,0.068,0.1119999999999999,0.143,16.3,2.2,1.7,0.4,0.129,-0.5,0.3
2015,DeJuan Blair,25.0,WAS,,,,,180.0,,57.0,,,,6.0,,,,3.0,7.0,1.0,13.0,56.0,0.469,0.0,0.105,0.103,0.245,0.175,0.026,0.179,0.183,7.7,0.1,-0.2,0.3,0.033,-7.4,-0.2
2015,Steve Blake,34.0,POR,,,,,1529.0,,327.0,,,,41.0,,,,288.0,41.0,5.0,104.0,350.0,0.507,0.67,0.125,0.011,0.083,0.048,0.262,0.2319999999999999,0.132,9.5,2.1,0.7,1.4,0.066,-2.1,0.0
2015,Eric Bledsoe,25.0,PHX,,,,,2800.0,,1046.0,,,,441.0,,,,493.0,127.0,45.0,274.0,1377.0,0.555,0.26,0.422,0.0279999999999999,0.139,0.083,0.2789999999999999,0.181,0.237,18.4,7.0,4.1,2.9,0.119,2.6,3.3
2015,Vander Blue,22.0,LAL,,,,,74.0,,30.0,,,,5.0,,,,8.0,3.0,0.0,6.0,22.0,0.342,0.333,0.167,0.0289999999999999,0.109,0.067,0.168,0.157,0.23,4.0,-0.2,-0.3,0.0,-0.156,-8.5,-0.1
2015,Bojan Bogdanovic,25.0,BKN,,,,,1854.0,,576.0,,,,106.0,,,,68.0,34.0,9.0,78.0,700.0,0.562,0.444,0.184,0.03,0.098,0.064,0.0579999999999999,0.111,0.172,11.6,2.4,1.7,0.7,0.062,-1.8,0.1
2015,Andrew Bogut,30.0,GSW,,,,,1583.0,,355.0,,,,42.0,,,,180.0,39.0,113.0,106.0,422.0,0.565,0.0,0.118,0.099,0.265,0.185,0.154,0.221,0.132,15.8,5.2,1.9,3.4,0.159,4.1,2.4
2015,Matt Bonner,34.0,SAS,,,,,935.0,,230.0,,,,37.0,,,,47.0,10.0,12.0,11.0,264.0,0.536,0.548,0.161,0.036,0.102,0.07,0.071,0.043,0.125,10.1,2.1,1.3,0.9,0.11,-0.9,0.3
2015,Trevor Booker,27.0,UTA,,,,,1564.0,,464.0,,,,148.0,,,,83.0,43.0,41.0,88.0,567.0,0.536,0.181,0.319,0.103,0.19,0.147,0.09,0.143,0.181,15.3,3.6,1.7,1.9,0.11,0.2,0.9
2015,Carlos Boozer,33.0,LAL,,,,,1692.0,,743.0,,,,150.0,,,,95.0,41.0,12.0,92.0,836.0,0.517,0.0,0.202,0.07,0.252,0.157,0.103,0.102,0.237,16.4,2.2,1.2,1.0,0.062,-3.3,-0.6
2015,Chris Bosh,30.0,MIA,,,,,1556.0,,745.0,,,,232.0,,,,95.0,41.0,25.0,95.0,928.0,0.548,0.226,0.311,0.036,0.2,0.12,0.12,0.1009999999999999,0.284,19.8,3.6,2.1,1.5,0.111,-0.1,0.8
2015,Avery Bradley,24.0,BOS,,,,,2428.0,,1012.0,,,,100.0,,,,135.0,82.0,15.0,109.0,1071.0,0.507,0.348,0.099,0.02,0.089,0.054,0.089,0.094,0.21,11.5,2.5,0.4,2.1,0.049,-1.7,0.2
2015,Elton Brand,35.0,ATL,,,,,486.0,,95.0,,,,23.0,,,,22.0,17.0,25.0,18.0,96.0,0.457,0.011,0.242,0.068,0.1639999999999999,0.118,0.064,0.146,0.1159999999999999,9.4,0.7,-0.1,0.8,0.07,-1.4,0.1
